CustomerKey,CustomerID,CustomerName,Segment,Country,EffectiveDate,ExpiryDate,IsCurrent
1,CUST000001,Northern Health Corp,SMB,China,3/6/2020,12/31/9999,TRUE
2,CUST000002,Global Health PLC,Government,Canada,10/8/2020,12/31/9999,TRUE
3,CUST000003,Onyx Dynamics Holdings,Government,Germany,4/12/2018,12/31/9999,TRUE
4,CUST000004,Nova Systems Co,SMB,Brazil,4/23/2019,12/31/9999,TRUE
5,CUST000005,Meridian Manufacturing LLC,Enterprise,United States,12/14/2021,12/31/9999,TRUE
6,CUST000006,Cobalt Robotics PLC,Mid-Market,Australia,8/26/2018,12/31/9999,TRUE
7,CUST000007,Onyx Solutions Corp,Education,Brazil,5/1/2018,12/31/9999,TRUE
8,CUST000008,Pacific Dynamics LLC,SMB,Japan,3/24/2021,12/31/9999,TRUE
9,CUST000009,Redwood Systems Co,Enterprise,Argentina,11/6/2021,1/15/2024,FALSE
10,CUST000009,Redwood Systems Co,Enterprise,United Kingdom,1/16/2024,12/31/9999,TRUE
11,CUST000010,Prime Networks PLC,SMB,Netherlands,4/4/2020,12/31/9999,TRUE
12,CUST000011,Horizon Health Holdings,Enterprise,Germany,7/3/2018,12/31/9999,TRUE
13,CUST000012,Halcyon Robotics Ltd,SMB,United Kingdom,11/10/2019,12/31/9999,TRUE
14,CUST000013,Sterling Dynamics Group,Enterprise,China,2/21/2020,12/31/9999,TRUE
15,CUST000014,Horizon Analytics Co,Startup,China,1/9/2021,12/31/9999,TRUE
16,CUST000015,Joseph Rodriguez,Consumer,Italy,1/5/2022,6/15/2024,FALSE
17,CUST000015,Joseph Rodriguez,Consumer,Australia,6/16/2024,12/31/9999,TRUE
18,CUST000016,Redwood Financial Ltd,Education,Canada,7/18/2022,12/16/2024,FALSE
19,CUST000016,Redwood Financial Ltd,Education,Canada,12/17/2024,12/31/9999,TRUE
20,CUST000017,Sterling Consulting LLC,Mid-Market,China,9/19/2018,8/27/2020,FALSE
21,CUST000017,Sterling Consulting LLC,Mid-Market,China,8/28/2020,12/31/9999,TRUE
22,CUST000018,Vertex Dynamics Holdings,Startup,France,4/26/2019,5/6/2020,FALSE
23,CUST000018,Vertex Dynamics Holdings,Consumer,Singapore,5/7/2020,5/27/2021,FALSE
24,CUST000018,Vertex Dynamics Holdings,Consumer,Singapore,5/28/2021,12/31/9999,TRUE
25,CUST000019,Halcyon Manufacturing Co,Education,Mexico,7/18/2022,12/31/9999,TRUE
26,CUST000020,Pacific Textiles Holdings,SMB,United States,10/17/2022,6/16/2024,FALSE
27,CUST000020,Pacific Textiles Holdings,Mid-Market,United Kingdom,6/17/2024,12/31/9999,TRUE
28,CUST000021,Onyx Dynamics Group,Enterprise,Australia,7/21/2020,5/28/2022,FALSE
29,CUST000021,Onyx Dynamics Group,Consumer,Netherlands,5/29/2022,12/31/9999,TRUE
30,CUST000022,John Novak,Consumer,China,12/8/2020,12/31/9999,TRUE
